CaseID,CaseNumber,CaseTypeId,CaseType,CaseWorkclassId,CaseWorkclass,CaseStatusId,CaseStatus,DateApplied,Address,Description
18FBAFAA-8C10-4051-8592-BBAF3DF878D3,2015-2851,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-01T19:28:00Z,2509 LEONARDS PASS LEANDER TX 78641,Install Sprinkler System
7069A0B6-4C8E-473B-A968-85642A9E09BE,2015-2852,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-01T19:30:00Z,2405 GRANITE CREEK DR LEANDER TX 78641,New Irrigation
3856CAA5-52EF-4A43-991A-F14308588FBF,2015-2853,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-01T21:30:00Z,913 COULEE DR LEANDER TX 78641,New House
08516A26-912E-4982-ADCA-59B85A6954E0,2015-2854,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-01T22:08:00Z,904 PURPLE MOOR PASS LEANDER TX 78641,New House
74084D9E-4183-4620-9D2E-D665BF9123F7,2015-2855,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T15:35:00Z,2209 LEGEND HILL DR LEANDER TX 78641,New House
8F49FA4D-06EB-492B-8014-371A01968649,2015-2856,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T15:41:00Z,2300 REPUBLIC TRAILS BLVD LEANDER TX 78641,Install Sprinkler System
E8169800-F163-404E-99F0-CED1B18A010B,2015-2857,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T15:48:00Z,2537 LEONARDS PASS LEANDER TX 78641,Install Sprinkler System
96DF51A2-EEAE-4B2F-9A3B-985F2068D6F7,2015-2858,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T15:51:00Z,2304 REPUBLIC TRAILS BLVD LEANDER TX 78641,Install Sprinkler System
002A7345-84DB-4890-803E-A3929AF7F9D6,2015-2859,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T15:56:00Z,517 TULA TRL LEANDER TX 78641,Install Sprinkler System
E7B90A72-FB84-4A9B-960F-0CCC92B95FAE,2015-2860,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T16:01:00Z,513 TULA TRL LEANDER TX 78641,Install Sprinkler System
